lat,lon
-8.076342684684684,-34.89436723655914
-8.076342684684684,-34.894153161290326
-8.076342684684684,-34.893939086021504
-8.076342684684684,-34.89372501075269
-8.076342684684684,-34.893510935483874
-8.076342684684684,-34.89329686021505
-8.076342684684684,-34.89308278494624
-8.076342684684684,-34.89286870967742
-8.076342684684684,-34.8926546344086
-8.076342684684684,-34.892440559139786
-8.076342684684684,-34.89222648387097
-8.076342684684684,-34.89201240860215
-8.076342684684684,-34.891798333333334
-8.076342684684684,-34.89158425806452
-8.076342684684684,-34.8913701827957
-8.076342684684684,-34.89115610752688
-8.076342684684684,-34.89094203225807
-8.076342684684684,-34.890727956989245
-8.076342684684684,-34.89051388172043
-8.076342684684684,-34.890299806451615
-8.076342684684684,-34.89008573118279
-8.076342684684684,-34.88987165591398
-8.076342684684684,-34.889657580645164
-8.076342684684684,-34.88944350537634
-8.076342684684684,-34.88922943010753
-8.076342684684684,-34.88901535483871
-8.076342684684684,-34.88880127956989
-8.076342684684684,-34.888587204301075
-8.076342684684684,-34.88837312903226
-8.076342684684684,-34.888159053763445
-8.076342684684684,-34.88794497849462
-8.076342684684684,-34.88773090322581
-8.076342684684684,-34.88751682795699
-8.076342684684684,-34.88730275268817
-8.076342684684684,-34.88708867741936
-8.076342684684684,-34.88687460215054
-8.076342684684684,-34.88666052688172
-8.076342684684684,-34.886446451612905
-8.076342684684684,-34.88623237634409
-8.076342684684684,-34.88601830107527
-8.076342684684684,-34.88580422580645
-8.076342684684684,-34.88559015053764
-8.076342684684684,-34.885376075268816
-8.07619227027027,-34.905071
-8.07619227027027,-34.904856924731185
-8.07619227027027,-34.90464284946236
-8.07619227027027,-34.90442877419355
-8.07619227027027,-34.90421469892473
-8.07619227027027,-34.90400062365591
-8.07619227027027,-34.903786548387096
-8.07619227027027,-34.90357247311828
-8.07619227027027,-34.90335839784946
-8.07619227027027,-34.903144322580644
-8.07619227027027,-34.90293024731183
-8.07619227027027,-34.90271617204301
-8.07619227027027,-34.90250209677419
-8.07619227027027,-34.90228802150538
-8.07619227027027,-34.902073946236555
-8.07619227027027,-34.90185987096774
-8.07619227027027,-34.901645795698926
-8.07619227027027,-34.90143172043011
-8.07619227027027,-34.90121764516129
-8.07619227027027,-34.901003569892474
-8.07619227027027,-34.90078949462366
-8.07619227027027,-34.90057541935484
-8.07619227027027,-34.90036134408602
-8.07619227027027,-34.90014726881721
-8.07619227027027,-34.899933193548385
-8.07619227027027,-34.89971911827957
-8.07619227027027,-34.899505043010755
-8.07619227027027,-34.89929096774193
-8.07619227027027,-34.89907689247312
-8.07619227027027,-34.898862817204304
-8.07619227027027,-34.89864874193548
-8.07619227027027,-34.89843466666667
-8.07619227027027,-34.89822059139785
-8.07619227027027,-34.89800651612903
-8.07619227027027,-34.897792440860215
-8.07619227027027,-34.8975783655914
-8.07619227027027,-34.89736429032258
-8.07619227027027,-34.89715021505376
-8.07619227027027,-34.89693613978495
-8.07619227027027,-34.896722064516126
-8.07619227027027,-34.89650798924731
-8.07619227027027,-34.8962939139785
-8.07619227027027,-34.896079838709674
-8.07619227027027,-34.89586576344086
-8.07619227027027,-34.895651688172045
-8.07619227027027,-34.89543761290322
-8.07619227027027,-34.89522353763441
-8.07619227027027,-34.89500946236559
-8.07619227027027,-34.89479538709678
-8.07619227027027,-34.894581311827956
-8.07619227027027,-34.89436723655914
-8.07619227027027,-34.894153161290326
-8.07619227027027,-34.893939086021504
-8.07619227027027,-34.89372501075269
-8.07619227027027,-34.893510935483874
-8.07619227027027,-34.89329686021505
-8.07619227027027,-34.89308278494624
-8.07619227027027,-34.89286870967742
-8.07619227027027,-34.8926546344086
-8.07619227027027,-34.892440559139786
-8.07619227027027,-34.89222648387097
-8.07619227027027,-34.89201240860215
-8.07619227027027,-34.891798333333334
-8.07619227027027,-34.89158425806452
-8.07619227027027,-34.8913701827957
-8.07619227027027,-34.89115610752688
-8.07619227027027,-34.89094203225807
-8.07619227027027,-34.890727956989245
-8.07619227027027,-34.89051388172043
-8.07619227027027,-34.890299806451615
-8.07619227027027,-34.89008573118279
-8.07619227027027,-34.88987165591398
-8.07619227027027,-34.889657580645164
-8.07619227027027,-34.88944350537634
-8.07619227027027,-34.88922943010753
-8.07619227027027,-34.88901535483871
-8.07619227027027,-34.88880127956989
-8.07619227027027,-34.888587204301075
-8.07619227027027,-34.88837312903226
-8.07619227027027,-34.888159053763445
-8.07619227027027,-34.88794497849462
-8.07619227027027,-34.88773090322581
-8.07619227027027,-34.88751682795699
-8.07619227027027,-34.88730275268817
-8.07619227027027,-34.88708867741936
-8.07619227027027,-34.88687460215054
-8.07619227027027,-34.88666052688172
-8.07619227027027,-34.886446451612905
-8.07619227027027,-34.88623237634409
-8.07619227027027,-34.88601830107527
-8.07619227027027,-34.88580422580645
-8.07619227027027,-34.88559015053764
-8.07619227027027,-34.885376075268816
-8.076041855855856,-34.905071
-8.076041855855856,-34.904856924731185
-8.076041855855856,-34.90464284946236
-8.076041855855856,-34.90442877419355
-8.076041855855856,-34.90421469892473
-8.076041855855856,-34.90400062365591
-8.076041855855856,-34.903786548387096
-8.076041855855856,-34.90357247311828
-8.076041855855856,-34.90335839784946
-8.076041855855856,-34.903144322580644
-8.076041855855856,-34.90293024731183
-8.076041855855856,-34.90271617204301
-8.076041855855856,-34.90250209677419
-8.076041855855856,-34.90228802150538
-8.076041855855856,-34.902073946236555
-8.076041855855856,-34.90185987096774
-8.076041855855856,-34.901645795698926
-8.076041855855856,-34.90143172043011
-8.076041855855856,-34.90121764516129
-8.076041855855856,-34.901003569892474
-8.076041855855856,-34.90078949462366
-8.076041855855856,-34.90057541935484
-8.076041855855856,-34.90036134408602
-8.076041855855856,-34.90014726881721
-8.076041855855856,-34.899933193548385
-8.076041855855856,-34.89971911827957
-8.076041855855856,-34.899505043010755
-8.076041855855856,-34.89929096774193
-8.076041855855856,-34.89907689247312
-8.076041855855856,-34.898862817204304
-8.076041855855856,-34.89864874193548
-8.076041855855856,-34.89843466666667
-8.076041855855856,-34.89822059139785
-8.076041855855856,-34.89800651612903
-8.076041855855856,-34.897792440860215
-8.076041855855856,-34.8975783655914
-8.076041855855856,-34.89736429032258
-8.076041855855856,-34.89715021505376
-8.076041855855856,-34.89693613978495
-8.076041855855856,-34.896722064516126
-8.076041855855856,-34.89650798924731
-8.076041855855856,-34.8962939139785
-8.076041855855856,-34.896079838709674
-8.076041855855856,-34.89586576344086
-8.076041855855856,-34.895651688172045
-8.076041855855856,-34.89543761290322
-8.076041855855856,-34.89522353763441
-8.076041855855856,-34.89500946236559
-8.076041855855856,-34.89479538709678
-8.076041855855856,-34.894581311827956
-8.076041855855856,-34.89436723655914
-8.076041855855856,-34.894153161290326
-8.076041855855856,-34.893939086021504
-8.076041855855856,-34.89372501075269
-8.076041855855856,-34.893510935483874
-8.076041855855856,-34.89329686021505
-8.076041855855856,-34.89308278494624
-8.076041855855856,-34.89286870967742
-8.076041855855856,-34.8926546344086
-8.076041855855856,-34.892440559139786
-8.076041855855856,-34.89222648387097
-8.076041855855856,-34.89201240860215
-8.076041855855856,-34.891798333333334
-8.076041855855856,-34.89158425806452
-8.076041855855856,-34.8913701827957
-8.076041855855856,-34.89115610752688
-8.076041855855856,-34.89094203225807
-8.076041855855856,-34.890727956989245
-8.076041855855856,-34.89051388172043
-8.076041855855856,-34.890299806451615
-8.076041855855856,-34.89008573118279
-8.076041855855856,-34.88987165591398
-8.076041855855856,-34.889657580645164
-8.076041855855856,-34.88944350537634
-8.076041855855856,-34.88922943010753
-8.076041855855856,-34.88901535483871
-8.076041855855856,-34.88880127956989
-8.076041855855856,-34.888587204301075
-8.076041855855856,-34.88837312903226
-8.076041855855856,-34.888159053763445
-8.076041855855856,-34.88794497849462
-8.076041855855856,-34.88773090322581
-8.076041855855856,-34.88751682795699
-8.076041855855856,-34.88730275268817
-8.076041855855856,-34.88708867741936
-8.076041855855856,-34.88687460215054
-8.076041855855856,-34.88666052688172
-8.076041855855856,-34.886446451612905
-8.076041855855856,-34.88623237634409
-8.076041855855856,-34.88601830107527
-8.076041855855856,-34.88580422580645
-8.076041855855856,-34.88559015053764
-8.076041855855856,-34.885376075268816
-8.075891441441442,-34.905071
-8.075891441441442,-34.904856924731185
-8.075891441441442,-34.90464284946236
-8.075891441441442,-34.90442877419355
-8.075891441441442,-34.90421469892473
-8.075891441441442,-34.90400062365591
-8.075891441441442,-34.903786548387096
-8.075891441441442,-34.90357247311828
-8.075891441441442,-34.90335839784946
-8.075891441441442,-34.903144322580644
-8.075891441441442,-34.90293024731183
-8.075891441441442,-34.90271617204301
-8.075891441441442,-34.90250209677419
-8.075891441441442,-34.90228802150538
-8.075891441441442,-34.902073946236555
-8.075891441441442,-34.90185987096774
-8.075891441441442,-34.901645795698926
-8.075891441441442,-34.90143172043011
-8.075891441441442,-34.90121764516129
-8.075891441441442,-34.901003569892474
-8.075891441441442,-34.90078949462366
-8.075891441441442,-34.90057541935484
-8.075891441441442,-34.90036134408602
-8.075891441441442,-34.90014726881721
-8.075891441441442,-34.899933193548385
-8.075891441441442,-34.89971911827957
-8.075891441441442,-34.899505043010755
-8.075891441441442,-34.89929096774193
-8.075891441441442,-34.89907689247312
-8.075891441441442,-34.898862817204304
-8.075891441441442,-34.89864874193548
-8.075891441441442,-34.89843466666667
-8.075891441441442,-34.89822059139785
-8.075891441441442,-34.89800651612903
-8.075891441441442,-34.897792440860215
-8.075891441441442,-34.8975783655914
-8.075891441441442,-34.89736429032258
-8.075891441441442,-34.89715021505376
-8.075891441441442,-34.89693613978495
-8.075891441441442,-34.896722064516126
-8.075891441441442,-34.89650798924731
-8.075891441441442,-34.8962939139785
-8.075891441441442,-34.896079838709674
-8.075891441441442,-34.89586576344086
-8.075891441441442,-34.895651688172045
-8.075891441441442,-34.89543761290322
-8.075891441441442,-34.89522353763441
-8.075891441441442,-34.89500946236559
-8.075891441441442,-34.89479538709678
-8.075891441441442,-34.894581311827956
-8.075891441441442,-34.89436723655914
-8.075891441441442,-34.894153161290326
-8.075891441441442,-34.893939086021504
-8.075891441441442,-34.89372501075269
-8.075891441441442,-34.893510935483874
-8.075891441441442,-34.89329686021505
-8.075891441441442,-34.89308278494624
-8.075891441441442,-34.89286870967742
-8.075891441441442,-34.8926546344086
-8.075891441441442,-34.892440559139786
-8.075891441441442,-34.89222648387097
-8.075891441441442,-34.89201240860215
-8.075891441441442,-34.891798333333334
-8.075891441441442,-34.89158425806452
-8.075891441441442,-34.8913701827957
-8.075891441441442,-34.89115610752688
-8.075891441441442,-34.89094203225807
-8.075891441441442,-34.890727956989245
-8.075891441441442,-34.89051388172043
-8.075891441441442,-34.890299806451615
-8.075891441441442,-34.89008573118279
-8.075891441441442,-34.88987165591398
-8.075891441441442,-34.889657580645164
-8.075891441441442,-34.88944350537634
-8.075891441441442,-34.88922943010753
-8.075891441441442,-34.88901535483871
-8.075891441441442,-34.88880127956989
-8.075891441441442,-34.888587204301075
-8.075891441441442,-34.88837312903226
-8.075891441441442,-34.888159053763445
-8.075891441441442,-34.88794497849462
-8.075891441441442,-34.88773090322581
-8.075891441441442,-34.88751682795699
-8.075891441441442,-34.88730275268817
-8.075891441441442,-34.88708867741936
-8.075891441441442,-34.88687460215054
-8.075891441441442,-34.88666052688172
-8.075891441441442,-34.886446451612905
-8.075891441441442,-34.88623237634409
-8.075891441441442,-34.88601830107527
-8.075891441441442,-34.88580422580645
-8.075891441441442,-34.88559015053764
-8.075891441441442,-34.885376075268816
-8.075741027027027,-34.905071
-8.075741027027027,-34.904856924731185
-8.075741027027027,-34.90464284946236
-8.075741027027027,-34.90442877419355
-8.075741027027027,-34.90421469892473
-8.075741027027027,-34.90400062365591
-8.075741027027027,-34.903786548387096
-8.075741027027027,-34.90357247311828
-8.075741027027027,-34.90335839784946
-8.075741027027027,-34.903144322580644
-8.075741027027027,-34.90293024731183
-8.075741027027027,-34.90271617204301
-8.075741027027027,-34.90250209677419
-8.075741027027027,-34.90228802150538
-8.075741027027027,-34.902073946236555
-8.075741027027027,-34.90185987096774
-8.075741027027027,-34.901645795698926
-8.075741027027027,-34.90143172043011
-8.075741027027027,-34.90121764516129
-8.075741027027027,-34.901003569892474
-8.075741027027027,-34.90078949462366
-8.075741027027027,-34.90057541935484
-8.075741027027027,-34.90036134408602
-8.075741027027027,-34.90014726881721
-8.075741027027027,-34.899933193548385
-8.075741027027027,-34.89971911827957
-8.075741027027027,-34.899505043010755
-8.075741027027027,-34.89929096774193
-8.075741027027027,-34.89907689247312
-8.075741027027027,-34.898862817204304
-8.075741027027027,-34.89864874193548
-8.075741027027027,-34.89843466666667
-8.075741027027027,-34.89822059139785
-8.075741027027027,-34.89800651612903
-8.075741027027027,-34.897792440860215
-8.075741027027027,-34.8975783655914
-8.075741027027027,-34.89736429032258
-8.075741027027027,-34.89715021505376
-8.075741027027027,-34.89693613978495
-8.075741027027027,-34.896722064516126
-8.075741027027027,-34.89650798924731
-8.075741027027027,-34.8962939139785
-8.075741027027027,-34.896079838709674
-8.075741027027027,-34.89586576344086
-8.075741027027027,-34.895651688172045
-8.075741027027027,-34.89543761290322
-8.075741027027027,-34.89522353763441
-8.075741027027027,-34.89500946236559
-8.075741027027027,-34.89479538709678
-8.075741027027027,-34.894581311827956
-8.075741027027027,-34.89436723655914
-8.075741027027027,-34.894153161290326
-8.075741027027027,-34.893939086021504
-8.075741027027027,-34.89372501075269
-8.075741027027027,-34.893510935483874
-8.075741027027027,-34.89329686021505
-8.075741027027027,-34.89308278494624
-8.075741027027027,-34.89286870967742
-8.075741027027027,-34.8926546344086
-8.075741027027027,-34.892440559139786
-8.075741027027027,-34.89222648387097
-8.075741027027027,-34.89201240860215
-8.075741027027027,-34.891798333333334
-8.075741027027027,-34.89158425806452
-8.075741027027027,-34.8913701827957
-8.075741027027027,-34.89115610752688
-8.075741027027027,-34.89094203225807
-8.075741027027027,-34.890727956989245
-8.075741027027027,-34.89051388172043
-8.075741027027027,-34.890299806451615
-8.075741027027027,-34.89008573118279
-8.075741027027027,-34.88987165591398
-8.075741027027027,-34.889657580645164
-8.075741027027027,-34.88944350537634
-8.075741027027027,-34.88922943010753
-8.075741027027027,-34.88901535483871
-8.075741027027027,-34.88880127956989
-8.075741027027027,-34.888587204301075
-8.075741027027027,-34.88837312903226
-8.075741027027027,-34.888159053763445
-8.075741027027027,-34.88794497849462
-8.075741027027027,-34.88773090322581
-8.075741027027027,-34.88751682795699
-8.075741027027027,-34.88730275268817
-8.075741027027027,-34.88708867741936
-8.075741027027027,-34.88687460215054
-8.075741027027027,-34.88666052688172
-8.075741027027027,-34.886446451612905
-8.075741027027027,-34.88623237634409
-8.075741027027027,-34.88601830107527
-8.075741027027027,-34.88580422580645
-8.075741027027027,-34.88559015053764
-8.075741027027027,-34.885376075268816
